"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/6/23 10:27 PM,"NBACentral","1548977419",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","“I feel like Bron is the greatest basketball player to ever play this game, but he's just not my GOAT.” 

- Mario Chalmers 

(Via @betway ) https://t.co/m51wxwXEvm",,,840.0,"1666089460562526210"
6/8/23 8:50 AM,"John E Deaton","1079853966681346048",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","I’ve watched and fought bullies my entire life. Gensler is the quintessential bully. He’s the boy who didn’t get picked to play the first full court basketball game so he took his ? and left. I’ve talked to people who’ve been in the room with him and he insists on showing… https://t.co/FOQv8hQtfd",,,1034.0,"1666608527446507522"
6/8/23 2:43 PM,"Yesu wa Tongaren","1449631850188640260",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @Ressy_an: Big one from basketball??
58,800 odds. #IpoSiku

https://t.co/2PjCwvnwig https://t.co/b4Xa27lWoZ",,,5.0,"1666697490794532864"
6/8/23 2:43 PM,"'Le Steve!'","1442199704775761928",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","A photo of Brian Molko of Placebo which was taken last night during their gig at the 02 City Hall in Newcastle which I attended. Brian looked slim and energised and Stefan looked like an Olympian basketball player! He's soooo tall! ? https://t.co/bXSCLotRAo",,,0.0,"1666697487883616256"
6/8/23 2:43 PM,"HERO","443091218",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @Pacino13__: Moriah Mills helping Zion get into basketball shape. https://t.co/U3XvZ2H79g",,,461.0,"1666697482489802754"
6/8/23 2:43 PM,"Sadaltager","1382616580685647879",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @adekchangbin: .?Basketball and You??

—'The Player can lose on game, but i can't lose you.'

Changbin x OC AU (by: @adekchangbin) https…",,,97.0,"1666697474483032064"
6/8/23 2:43 PM,"Jeremy Brunk","823056068","DailyLoud","452540168","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@DailyLoud Her dad is a Hall of fame basketball player. Not many kids can say that so she'll be fine.",,,0.0,"1666697446406119425"
6/8/23 2:43 PM,"Vladislav Chechenev ??????","1382413529496567816","gReenbean_26","1326159214033723392","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@gReenbean_26 There was no such thing as 'some damn good basketball' in the game 7. Not. Even. Close.",,,0.0,"1666697428324478977"
6/8/23 2:43 PM,"WeezY?","1450355671896141827",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @FCBAlbiceleste: ?Messi already has the streets of Miami. A Messi shirt for Inter Miami already worn at the NBA basketball finals. https…",,,119.0,"1666697418715414529"
6/8/23 2:43 PM,"?","1659765989725343745",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @liuwuv_: random basketball guy ? https://t.co/DA48qfCCk6",,,140.0,"1666697414261223424"
